#options: 2580x1080 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=8 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=5070 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:36 out:33 type:P dur:2 cpbdur:2 q:38.27 aq:28.37 tex:225273 mv:52976 misc:4295 imb:7772 pmb:1660 smb:1584 d:- ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:38.95 aq:32.75 tex:7043 mv:11658 misc:4219 imb:173 pmb:1086 smb:9757 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:39.30 aq:35.71 tex:3499 mv:7212 misc:3113 imb:98 pmb:710 smb:10208 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:38.61 aq:37.69 tex:1362 mv:4278 misc:2296 imb:20 pmb:474 smb:10522 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:37.35 aq:30.29 tex:60658 mv:22023 misc:5799 imb:885 pmb:1912 smb:8219 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:37.81 aq:33.80 tex:5109 mv:10155 misc:3336 imb:87 pmb:814 smb:10115 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:38.04 aq:35.00 tex:1079 mv:4076 misc:2109 imb:25 pmb:385 smb:10606 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:37.58 aq:34.84 tex:1701 mv:4657 misc:1834 imb:27 pmb:360 smb:10629 d:- ref:0 ;
in:42 out:41 type:P dur:2 cpbdur:2 q:36.38 aq:29.59 tex:37349 mv:14390 misc:5861 imb:388 pmb:1781 smb:8847 d:- ref:0 ;
in:41 out:42 type:b dur:2 cpbdur:2 q:36.86 aq:36.33 tex:875 mv:2066 misc:1395 imb:12 pmb:218 smb:10786 d:- ref:0 ;
in:46 out:43 type:P dur:2 cpbdur:2 q:36.03 aq:28.68 tex:45744 mv:24093 misc:7219 imb:962 pmb:1828 smb:8226 d:- ref:0 ;
in:44 out:44 type:B dur:2 cpbdur:2 q:36.20 aq:30.28 tex:11764 mv:13161 misc:5187 imb:171 pmb:1322 smb:9523 d:- ref:0 ;
in:43 out:45 type:b dur:2 cpbdur:2 q:36.29 aq:34.16 tex:1271 mv:3744 misc:2073 imb:17 pmb:428 smb:10571 d:- ref:0 ;
in:45 out:46 type:b dur:2 cpbdur:2 q:36.11 aq:29.37 tex:4366 mv:10179 misc:4119 imb:126 pmb:896 smb:9994 d:- ref:0 ;
in:47 out:47 type:P dur:2 cpbdur:2 q:35.17 aq:27.56 tex:59810 mv:30810 misc:8580 imb:1558 pmb:2425 smb:7033 d:- ref:0 ;
in:48 out:48 type:P dur:2 cpbdur:2 q:35.60 aq:28.00 tex:63605 mv:32934 misc:8445 imb:1677 pmb:2372 smb:6967 d:- ref:0 ;
in:49 out:49 type:P dur:2 cpbdur:2 q:35.29 aq:27.91 tex:67980 mv:34860 misc:8736 imb:1619 pmb:2598 smb:6799 d:- ref:0 ;
